lsl_timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,marker
794633.1018180001,-21462.904296875,-12438.6787109375,-29697.421875,-6250.24072265625,-31620.587890625,-28265.435546875,-22271.859375,-12581.1044921875,
794633.105818,-21465.876953125,-12445.697265625,-29704.060546875,-6215.05908203125,-31629.775390625,-28277.03515625,-22283.169921875,-12582.556640625,
794633.109818,-21475.689453125,-12456.0458984375,-29711.525390625,-6257.46044921875,-31636.97265625,-28289.8203125,-22297.451171875,-12595.23046875,
794633.113818,-21480.517578125,-12455.5546875,-29709.15625,-6308.17626953125,-31630.265625,-28288.078125,-22301.810546875,-12605.7353515625,
794633.1178179999,-21487.3125,-12463.82421875,-29718.0078125,-6274.8720703125,-31640.03515625,-28300.236328125,-22314.908203125,-12616.0400390625,
794633.1218179999,-21493.548828125,-12470.9765625,-29723.88671875,-6229.07373046875,-31645.353515625,-28307.74609375,-22321.79296875,-12627.9755859375,
794633.1258179998,-21497.70703125,-12475.40234375,-29726.0546875,-6260.142578125,-31648.125,-28311.94921875,-22327.939453125,-12642.3701171875,
794633.1298179998,-21486.1953125,-12462.572265625,-29712.84375,-6313.2724609375,-31635.51953125,-28297.822265625,-22315.9140625,-12621.001953125,
794633.1338179997,-21488.318359375,-12462.1923828125,-29716.21875,-6290.7197265625,-31634.87109375,-28294.984375,-22313.478515625,-12615.9951171875,
794633.1378179997,-21487.849609375,-12460.8740234375,-29714.900390625,-6233.65576171875,-31638.8046875,-28294.916015625,-22307.890625,-12616.2412109375,
794633.155876375,-21490.107421875,-12464.9423828125,-29718.38671875,-6249.5703125,-31645.509765625,-28300.794921875,-22309.923828125,-12620.80078125,
794633.159876375,-21485.525390625,-12454.302734375,-29703.61328125,-6301.716796875,-31633.373046875,-28288.814453125,-22301.431640625,-12615.2353515625,
794633.163876375,-21472.78515625,-12438.052734375,-29687.744140625,-6279.7451171875,-31619.58203125,-28273.884765625,-22284.5546875,-12592.90625,
794633.1678763749,-21475.51171875,-12442.3671875,-29695.208984375,-6215.349609375,-31622.376953125,-28276.185546875,-22284.82421875,-12594.3134765625,
794633.1718763749,-21483.55859375,-12448.826171875,-29703.904296875,-6221.67529296875,-31623.671875,-28276.498046875,-22287.28125,-12602.4052734375,
794633.1758763748,-21472.470703125,-12435.794921875,-29692.728515625,-6277.6884765625,-31610.57421875,-28259.7578125,-22273.53515625,-12592.1455078125,
794633.1798763748,-21461.876953125,-12423.45703125,-29681.306640625,-6271.98876953125,-31600.873046875,-28245.69921875,-22260.638671875,-12578.8017578125,
794633.1838763747,-21464.537109375,-12423.099609375,-29686.73828125,-6210.65576171875,-31601.8359375,-28243.150390625,-22258.1796875,-12579.1591796875,
794633.1878763747,-21463.93359375,-12418.8076171875,-29684.14453125,-6200.75390625,-31601.1640625,-28240.177734375,-22254.15625,-12584.0322265625,
794633.1918763747,-21469.833984375,-12422.33984375,-29689.6875,-6254.97900390625,-31603.421875,-28244.08984375,-22260.013671875,-12591.5419921875,
